"participant","id","nBlock","nSubBlock","map","technique","cameraTransition","renderingOrder","training","errorCount","timeFromStart","timeFromStreet","streetCount","firstAnswerFromStart","firstAnswerFromStreet","timeout","firstErrorMeasure","meanErrorMeasure"
"10",4,0,1,58,"Draggo","RF","Coupled",true,0,18.97,7.588,1,18.97,7.588,false,0,0
"10",5,0,1,14,"Draggo","RF","Coupled",false,1,27.855,18.102,2,24.172,14.419,false,0.5153717474970774,0.5153717474970774
"10",6,0,1,28,"Draggo","RF","Coupled",false,0,28.126,14.158,1,28.126,14.158,false,0,0
"10",7,0,1,43,"Draggo","RF","Coupled",false,0,9.201,4.811,1,9.201,4.811,false,0,0
"10",8,0,2,31,"Draggo","RF","RF",true,0,49.806,33.493,2,49.806,33.493,false,0,0
"10",9,0,2,23,"Draggo","RF","RF",false,0,14.475,4.371,1,14.475,4.371,false,0,0
"10",10,0,2,30,"Draggo","RF","RF",false,0,40.893,24.928,2,40.893,24.928,false,0,0
"10",11,0,2,54,"Draggo","RF","RF",false,0,10.711,3.191,1,10.711,3.191,false,0,0
"10",12,0,3,44,"Draggo","ZF","CF",true,0,7.765,1.52,1,7.765,1.52,false,0,0
"10",13,0,3,3,"Draggo","ZF","CF",false,0,25.416,9.632,1,25.416,9.632,false,0,0
"10",14,0,3,26,"Draggo","ZF","CF",false,0,50.563,27.639,2,50.563,27.639,false,0,0
"10",15,0,3,34,"Draggo","ZF","CF",false,0,21.051,7.301,1,21.05,7.3,false,0,0
"10",16,0,4,9,"Draggo","ZF","RF",true,0,25.233,12.236,1,25.233,12.236,false,0,0
"10",17,0,4,49,"Draggo","ZF","RF",false,0,9.529,2.209,1,9.529,2.209,false,0,0
"10",18,0,4,52,"Draggo","ZF","RF",false,0,20.968,7.877,1,20.968,7.877,false,0,0
"10",19,0,4,40,"Draggo","ZF","RF",false,0,16.635,9.599,1,16.635,9.599,false,0,0
"10",20,0,5,13,"Draggo","RF","CF",true,0,17.444,2.644,1,17.444,2.644,false,0,0
"10",21,0,5,50,"Draggo","RF","CF",false,0,23.419,18.607,2,23.419,18.607,false,0,0
"10",22,0,5,21,"Draggo","RF","CF",false,0,18.51,13.779,1,18.51,13.779,false,0,0
"10",23,0,5,6,"Draggo","RF","CF",false,0,30.996,21.978,2,30.996,21.978,false,0,0
"10",24,1,0,33,"Goto","ZF","Coupled",true,0,52.758,38.777,2,52.758,38.777,false,0,0
"10",25,1,0,56,"Goto","ZF","Coupled",false,0,20.472,5.592,1,20.472,5.592,false,0,0
"10",26,1,0,35,"Goto","ZF","Coupled",false,0,13.956,2.355,1,13.956,2.355,false,0,0
"10",27,1,0,17,"Goto","ZF","Coupled",false,0,18.275,3.738,1,18.275,3.738,false,0,0
"10",28,1,1,22,"Goto","ZF","CF",true,0,18.229,8.177,1,18.229,8.177,false,0,0
"10",29,1,1,1,"Goto","ZF","CF",false,0,17.328,4.908,1,17.328,4.908,false,0,0
"10",30,1,1,42,"Goto","ZF","CF",false,0,13.089,2.249,1,13.089,2.249,false,0,0
"10",31,1,1,46,"Goto","ZF","CF",false,0,29.708,15.944,1,29.708,15.944,false,0,0
"10",32,1,2,51,"Goto","ZF","RF",true,1,19.131,5.399,1,15.923,2.191,false,0.5743008169358848,0.5743008169358848
"10",33,1,2,32,"Goto","ZF","RF",false,1,42.822,28.462,2,20.803,6.443,false,0.388221370863267,0.388221370863267
"10",34,1,2,15,"Goto","ZF","RF",false,1,68.267,50.73,2,31.507,13.97,false,0.8068212627542456,0.8068212627542456
"10",35,1,2,47,"Goto","ZF","RF",false,0,14.146,3.223,1,14.146,3.223,false,0,0
"10",36,1,3,20,"Goto","RF","RF",true,0,14.811,2.455,1,14.811,2.455,false,0,0
"10",37,1,3,24,"Goto","RF","RF",false,0,34.211,23.02,2,34.211,23.02,false,0,0
"10",38,1,3,2,"Goto","RF","RF",false,0,21.538,11.274,1,21.538,11.274,false,0,0
"10",39,1,3,53,"Goto","RF","RF",false,0,11.309,1.857,1,11.309,1.857,false,0,0
"10",40,1,4,4,"Goto","RF","CF",true,0,21.216,2.755,1,21.216,2.755,false,0,0
"10",41,1,4,55,"Goto","RF","CF",false,1,23.472,9.041,1,20.693,6.262,false,0.13972567127331217,0.13972567127331217
"10",42,1,4,29,"Goto","RF","CF",false,1,41.516,24.335,2,39.816,22.635,false,0.2318251368963248,0.2318251368963248
"10",43,1,4,25,"Goto","RF","CF",false,0,48.4,28.474,2,48.4,28.474,false,0,0
"10",44,1,5,8,"Goto","RF","Coupled",true,0,15.987,5.813,1,15.987,5.813,false,0,0
"10",45,1,5,7,"Goto","RF","Coupled",false,0,11.78,1.265,1,11.78,1.265,false,0,0
"10",46,1,5,41,"Goto","RF","Coupled",false,0,20.098,8.911,1,20.098,8.911,false,0,0
"10",47,1,5,11,"Goto","RF","Coupled",false,0,16.146,3.613,1,16.146,3.613,false,0,0
"11",0,0,0,12,"Draggo","RF","Coupled",true,0,126.523,108.345,2,126.523,108.345,false,0,0
"11",1,0,0,27,"Draggo","RF","Coupled",false,2,120.468,67.77,1,60.99,8.292,false,1.4786983495189487,1.4786983495189487
"11",2,0,0,5,"Draggo","RF","Coupled",false,0,42.458,31.452,1,42.457,31.451,false,0,0
"11",3,0,0,10,"Draggo","RF","Coupled",false,0,74.111,68.889,1,74.111,68.889,false,0,0
"11",4,0,1,58,"Draggo","ZF","CF",true,0,96.622,90.556,1,96.622,90.556,false,0,0
"11",5,0,1,14,"Draggo","ZF","CF",false,0,31.757,19.642,1,31.757,19.642,false,0,0
"11",6,0,1,28,"Draggo","ZF","CF",false,1,120.106,106.762,1,112.285,98.941,true,1.0690054375299556,1.0690054375299556
"11",7,0,1,43,"Draggo","ZF","CF",false,2,59.543,54.127,1,10.505,5.089,false,1.4899663905900535,1.3989135920099007
"11",8,0,2,31,"Draggo","ZF","Coupled",true,0,35.608,25.478,1,35.608,25.478,false,0,0
"11",9,0,2,23,"Draggo","ZF","Coupled",false,0,48.892,33.398,1,48.892,33.398,false,0,0
"11",10,0,2,30,"Draggo","ZF","Coupled",false,0,85.999,62.163,1,85.999,62.163,false,0,0
"11",11,0,2,54,"Draggo","ZF","Coupled",false,0,12.131,3.279,1,12.131,3.279,false,0,0
"11",12,0,3,44,"Draggo","RF","CF",true,0,18.766,2.435,1,18.766,2.435,false,0,0
"11",13,0,3,3,"Draggo","RF","CF",false,6,120.169,106.344,1,39.949,26.124,true,0.8437504802348937,0.8414482339651745
"11",14,0,3,26,"Draggo","RF","CF",false,3,120.181,83.988,1,83.45,47.257,true,0.15711226561408334,0.2865824676080799
"11",15,0,3,34,"Draggo","RF","CF",false,0,40.532,21.167,1,40.532,21.167,false,0,0
"11",16,0,4,9,"Draggo","RF","RF",true,2,99.631,71.367,1,57.125,28.861,false,0.2159318253290099,0.17161765972291665
"11",17,0,4,49,"Draggo","RF","RF",false,0,23.534,6.812,1,23.534,6.812,false,0,0
"11",18,0,4,52,"Draggo","RF","RF",false,0,52.779,33.199,1,52.779,33.199,false,0,0
"11",19,0,4,40,"Draggo","RF","RF",false,2,49.477,35.717,1,17.378,3.618,false,0.21156186049145884,0.3778698635378793
"11",20,0,5,13,"Draggo","ZF","RF",true,0,58.483,18.338,1,58.483,18.338,false,0,0
"11",21,0,5,50,"Draggo","ZF","RF",false,0,28.403,10.068,1,28.402,10.067,false,0,0
"11",22,0,5,21,"Draggo","ZF","RF",false,0,29.036,16.307,1,29.036,16.307,false,0,0
"11",23,0,5,6,"Draggo","ZF","RF",false,1,42.596,24.92,1,30.812,13.136,false,0.3624829122198326,0.3624829122198326
"11",24,1,0,33,"Goto","ZF","CF",true,0,64.925,53.852,2,64.925,53.852,false,0,0
"11",25,1,0,56,"Goto","ZF","CF",false,0,29.552,11.361,1,29.552,11.361,false,0,0
"11",26,1,0,35,"Goto","ZF","CF",false,0,16.601,5.362,1,16.601,5.362,false,0,0
